Job_Role,Required_Skills
DevOps Engineer,"jenkins, aws, kubernetes, docker, monitoring, ansible"
Frontend Developer,"bootstrap, html, vue, angular, javascript, redux, tailwind"
Data Analyst,"statistics, excel, data visualization, tableau, sql, power bi"
UI/UX Designer,"design systems, user research, prototyping, responsive design, wireframing, adobe xd, figma"
Software Tester,"bug tracking, manual testing, test cases, api testing, jira, automation testing"
Site Reliability Engineer,"linux, prometheus, docker, aws, incident management, monitoring, kubernetes, terraform"
AR/VR Developer,"arkit, 3d modeling, unity, vr interaction, unreal engine"
Embedded Systems Engineer,"c++, c, arduino, microcontrollers, raspberry pi, embedded linux"
Android Developer,"rest api, material design, firebase, kotlin, sqlite, java, jetpack compose"
Data Analyst,"python, data visualization, pandas, tableau, excel, sql, dashboarding, power bi"
Android Developer,"rest api, kotlin, jetpack compose, material design, firebase, sqlite, java, android studio"
AR/VR Developer,"unity, arkit, vr interaction, 3d modeling, c#, arcore"
Database Administrator,"backup recovery, sql, database tuning, mysql, oracle, postgresql, performance optimization"
UI/UX Designer,"prototyping, adobe xd, responsive design, wireframing"
Mobile App Developer,"kotlin, mobile ui, api integration, flutter, dart"
Cloud Architect,"microservices, aws, ci/cd, terraform, kubernetes, linux, networking"
Data Scientist,"feature engineering, deep learning, python, scikit-learn, machine learning"
iOS Developer,"swiftui, ios, xcode, api integration, firebase, core data"
AI Engineer,"nlp, llms, deep learning, vector databases, tensorflow, python, huggingface"
Embedded Systems Engineer,"iot, c, raspberry pi, arduino, embedded linux, c++"
Cybersecurity Analyst,"ethical hacking, penetration testing, linux, network security, siem, vulnerability assessment, wireshark, soc"
Business Analyst,"power bi, requirement gathering, excel, sql"
iOS Developer,"core data, firebase, xcode, ios"
Data Scientist,"pandas, matplotlib, seaborn, statistics, tensorflow, nlp"
Embedded Systems Engineer,"arduino, c++, raspberry pi, embedded linux, iot, c, microcontrollers"
Computer Vision Engineer,"tensorflow, opencv, deep learning, object detection, image processing"
Full Stack Developer,"firebase, mongodb, react, python"
AI Engineer,"prompt engineering, deep learning, transformers, nlp, tensorflow, python, llms, vector databases"
Embedded Systems Engineer,"c, c++, iot, embedded linux, microcontrollers"
Game Developer,"blender, unreal engine, c++, multiplayer networking, game physics, c#"
Embedded Systems Engineer,"microcontrollers, embedded linux, raspberry pi, iot"
UI/UX Designer,"responsive design, user research, adobe xd, wireframing, figma, prototyping"
iOS Developer,"firebase, swift, swiftui, api integration, xcode"
Computer Vision Engineer,"object detection, cnn, python, yolo, image processing, tensorflow, opencv"
NLP Engineer,"python, bert, transformers, text classification"
Machine Learning Engineer,"docker, deep learning, fastapi, flask, mlops, model deployment, python"
Software Tester,"api testing, automation testing, jira, bug tracking, manual testing"
NLP Engineer,"text classification, transformers, llms, nlp, python, sentiment analysis"
Network Engineer,"network security, firewalls, tcp/ip, linux, cisco, vpn, switching"
Mobile App Developer,"react native, firebase, flutter, api integration, kotlin, android"
Mobile App Developer,"firebase, kotlin, flutter, android, ios, dart"
Site Reliability Engineer,"monitoring, docker, prometheus, aws, kubernetes, terraform, linux, incident management"
Site Reliability Engineer,"kubernetes, monitoring, incident management, prometheus, terraform, docker"
Database Administrator,"database tuning, oracle, postgresql, backup recovery, performance optimization, mysql"
NLP Engineer,"bert, huggingface, python, nlp, llms, sentiment analysis, text classification"
Frontend Developer,"figma, responsive design, react, css"
Backend Developer,"postgresql, flask, nodejs, spring boot, microservices, mongodb, django, redis"
Data Scientist,"pandas, scikit-learn, machine learning, matplotlib, tensorflow, python"
Frontend Developer,"nextjs, javascript, angular, redux"
Embedded Systems Engineer,"raspberry pi, microcontrollers, c, arduino, iot"
Embedded Systems Engineer,"c, c++, arduino, iot"
Data Analyst,"dashboarding, power bi, sql, data visualization, pandas, tableau, excel, statistics"
AI Engineer,"openai api, tensorflow, transformers, langchain, python, prompt engineering"
NLP Engineer,"sentiment analysis, transformers, text classification, nlp, python, huggingface, bert"
Data Analyst,"pandas, data visualization, tableau, python"
Full Stack Developer,"docker, django, mongodb, javascript, firebase, react, tailwind, nodejs"
Cloud Architect,"kubernetes, networking, cloud security, aws, linux, azure, ci/cd"
Full Stack Developer,"react, mongodb, firebase, python"
iOS Developer,"swift, xcode, firebase, core data, swiftui, ios"
Machine Learning Engineer,"mlops, fastapi, model deployment, aws, pytorch"
Site Reliability Engineer,"kubernetes, docker, prometheus, terraform, linux, incident management, aws"
Mobile App Developer,"flutter, react native, swift, ios"
AI Engineer,"nlp, transformers, langchain, prompt engineering, llms"
Cybersecurity Analyst,"siem, vulnerability assessment, ethical hacking, cryptography, incident response, wireshark, linux"
Data Analyst,"statistics, dashboarding, python, sql, excel, power bi, tableau"
Backend Developer,"mongodb, flask, django, redis, express, nodejs"
NLP Engineer,"python, huggingface, llms, bert"
AI Engineer,"transformers, nlp, python, langchain, tensorflow, openai api, rag"
Android Developer,"rest api, android studio, firebase, sqlite, java, jetpack compose, kotlin"
Game Developer,"game physics, unity, unreal engine, multiplayer networking, c#, c++"
Embedded Systems Engineer,"c, c++, iot, embedded linux"
DevOps Engineer,"github actions, aws, prometheus, ansible, jenkins, terraform, linux"
Computer Vision Engineer,"yolo, tensorflow, object detection, deep learning, image processing"
QA Engineer,"api testing, postman, cypress, performance testing, selenium, automation testing"
AR/VR Developer,"3d modeling, arkit, arcore, c#, vr interaction, unreal engine, unity"
NLP Engineer,"python, sentiment analysis, llms, bert, nlp, text classification"
Data Scientist,"feature engineering, sql, statistics, tensorflow, pandas, numpy, matplotlib, deep learning"
Data Scientist,"deep learning, seaborn, feature engineering, numpy, sql, tensorflow"
Frontend Developer,"nextjs, javascript, angular, bootstrap, html, css"
iOS Developer,"xcode, api integration, firebase, ios, core data"
Blockchain Developer,"polygon, web3, rust, smart contracts, hardhat, ethereum, cryptography, defi"
Machine Learning Engineer,"deep learning, docker, python, mlops"
Blockchain Developer,"blockchain security, web3, smart contracts, rust, defi"
Frontend Developer,"redux, javascript, html, bootstrap, nextjs"
QA Engineer,"performance testing, automation testing, selenium, api testing, postman, cypress"
Business Analyst,"sql, power bi, requirement gathering, jira, documentation, communication, data analysis"
UI/UX Designer,"adobe xd, design systems, prototyping, wireframing, user research, responsive design"
Data Scientist,"seaborn, machine learning, tensorflow, feature engineering, nlp"
Blockchain Developer,"blockchain security, web3, defi, smart contracts, ethereum"
Mobile App Developer,"api integration, mobile ui, firebase, react native"
Embedded Systems Engineer,"embedded linux, raspberry pi, arduino, c++, c, iot"
Database Administrator,"backup recovery, sql, performance optimization, postgresql"
AR/VR Developer,"unreal engine, 3d modeling, vr interaction, arcore, unity, arkit, c#"
Full Stack Developer,"javascript, nodejs, docker, python, sql, react, django, tailwind"
Blockchain Developer,"web3, hardhat, blockchain security, smart contracts, cryptography, defi"
Database Administrator,"mysql, postgresql, database tuning, backup recovery, sql, oracle"
UI/UX Designer,"figma, adobe xd, wireframing, design systems, responsive design"
Game Developer,"unity, c#, 3d graphics, unreal engine, game physics, c++, blender"
Game Developer,"c++, game physics, blender, unity, c#"
Cybersecurity Analyst,"firewalls, siem, soc, wireshark, vulnerability assessment"
NLP Engineer,"sentiment analysis, transformers, huggingface, bert"
Embedded Systems Engineer,"embedded linux, raspberry pi, iot, arduino, c, microcontrollers, c++"
Cloud Architect,"networking, ci/cd, microservices, kubernetes, aws"
Frontend Developer,"redux, html, react, tailwind, figma, angular"
AI Engineer,"tensorflow, nlp, deep learning, vector databases"
Frontend Developer,"bootstrap, react, figma, javascript, redux, nextjs, responsive design"
Frontend Developer,"html, figma, javascript, nextjs, vue"
NLP Engineer,"text classification, nlp, huggingface, transformers, python, llms, bert"
UI/UX Designer,"user research, prototyping, design systems, figma, responsive design, wireframing"
Computer Vision Engineer,"deep learning, image processing, opencv, cnn, python, object detection, tensorflow"
Cloud Architect,"cloud security, networking, terraform, linux"
DevOps Engineer,"docker, kubernetes, terraform, github actions"
UI/UX Designer,"user research, responsive design, prototyping, adobe xd, wireframing"
iOS Developer,"swift, swiftui, xcode, core data"
Game Developer,"3d graphics, c#, c++, game physics, multiplayer networking, unity"
AR/VR Developer,"unreal engine, unity, arcore, 3d modeling"
AR/VR Developer,"arcore, c#, unity, unreal engine, vr interaction, arkit"
Cybersecurity Analyst,"incident response, cryptography, vulnerability assessment, firewalls, network security, linux, siem, wireshark"
Data Scientist,"python, sql, statistics, pandas, scikit-learn"
Data Scientist,"machine learning, numpy, python, tensorflow, scikit-learn, matplotlib, statistics, nlp"
Site Reliability Engineer,"terraform, incident management, docker, monitoring, linux, kubernetes, prometheus, aws"
Game Developer,"multiplayer networking, c++, 3d graphics, game physics, unity"
Software Tester,"test cases, selenium, manual testing, jira, bug tracking, api testing"
AR/VR Developer,"unreal engine, unity, vr interaction, 3d modeling, arkit"
Machine Learning Engineer,"pytorch, mlops, model deployment, aws"
Database Administrator,"oracle, performance optimization, database tuning, mysql, backup recovery, sql"
Android Developer,"material design, jetpack compose, java, android studio"
Frontend Developer,"redux, tailwind, bootstrap, react, vue"
Android Developer,"kotlin, rest api, material design, jetpack compose, java, firebase, android studio"
DevOps Engineer,"bash, docker, linux, monitoring"
Computer Vision Engineer,"object detection, deep learning, python, tensorflow, image processing, yolo, cnn, opencv"
Full Stack Developer,"firebase, django, python, docker"
AI Engineer,"python, langchain, prompt engineering, huggingface, transformers"
Data Scientist,"matplotlib, scikit-learn, sql, machine learning, numpy, tensorflow, seaborn, statistics"
Embedded Systems Engineer,"raspberry pi, iot, microcontrollers, c++, c"
